Date,T1,T2
2018-01-09-11:49:37,-0.03,-0.114
2018-01-09-11:49:42,-0.029,-0.117
2018-01-09-11:49:47,-0.029,-0.117
2018-01-09-11:49:52,-0.029,-0.115
2018-01-09-11:49:57,-0.028,-0.119
2018-01-09-11:50:02,-0.029,-0.118
2018-01-09-11:50:07,-0.03,-0.113
2018-01-09-11:50:12,-0.03,-0.117
2018-01-09-11:50:17,-0.03,-0.116
2018-01-09-11:50:22,-0.029,-0.114
2018-01-09-11:50:27,-0.028,-0.115
2018-01-09-11:50:32,-0.028,-0.115
2018-01-09-11:50:37,-0.027,-0.114
2018-01-09-11:50:42,-0.026,-0.116
2018-01-09-11:50:47,-0.028,-0.117
2018-01-09-11:50:52,-0.028,-0.114
2018-01-09-11:50:57,-0.027,-0.116
2018-01-09-11:51:02,-0.028,-0.116
2018-01-09-11:51:07,-0.032,-0.113
2018-01-09-11:51:12,-0.029,-0.116
2018-01-09-11:51:17,-0.029,-0.116
2018-01-09-11:51:22,-0.03,-0.113
